,14.07,15.07,16.07,17.07,20.07,21.07,22.07,23.07,24.07
0,резиденция композиторов,жк мичуринский,мазд,хедлайнер,аквалина,аквалина,сосновка,южное бунино,южная долина
1,серебряный парк,Айди Мурино,спайрс,айди мурино,южное бунино,спайрс,test,фридом,
2,смк архангельск ,донской квартал,серебряный бор,ilove,спайрс,фридом,вереск,сильвер,
3,аквион архангельск,КВС,инчкейп лр,,сосновка,сосновка,нормандия,акватория,
4,айди мурино,мурино 2020,мурино 2020,,легенда московский,легенда московский,сосновк,айди мурино,
5,донской квартал,жк датский,шевроле,,серебряный парк,вереск,кленовые аллеи,диалог,
6,модиум,легенда московский,мейнстрит,,вереск,легенда институтский,,мейнстрит,
7, фридом,легенда институтский,айди кудрово,,пан,биг тайм,,вереск,
8,символ,хедлайнер,дыхание,,цветочные поляны,сердце столицы,,жк титул на серебрянической,
9,vnukovo,спайрс,now,,айлав,летний сад,,нормандия,
10,жк скандинавия,жк дыхание,биг тайм,,кленовые аллеи,кленовые аллеи,,южное бунино замена,
11,фреш,серебряный фонтан,кадиллак,,,донской квартал,,фреш,
12,рубин,жк дыхание,инчкейп лэнд ровер,,,,,небо,
13,событие,,нагатино айленд,,,,,кленовые аллеи,
14,огни,,мазда,,,,,,
15,жк нормандия,,фреш,,,,,,
16,биг тайм,,летний сад,,,,,,
17,кленовые аллеи,,донской квартал,,,,,,
18,созидатели,,,,,,,,
19,студио московский,,,,,,,,
20,сердце столицы,,,,,,,,
21,бунино,,,,,,,,
22,вереск,,,,,,,,
23,новый лесснер,,,,,,,,
24,поляны,,,,,,,,
